z xi(0) xi(1) xi(2) xi(3) xi(4) xi(5) xi(6) xi(7) xi(8) xi(9) xi(10)
1.96 0.119132 0.0328376 0.0140261 0 0 0 0 0 0 0 0
1.9637 0.118941 0.03223 0.0123863 0.0096527 0.00897377 0.00829905 0 0 0 0 0
1.9674 0.119821 0.0325467 0.0132278 0.0100958 0.00878272 0.00587355 0.00617919 0.00530419 0.00544539 0.00581135 0
1.9711 0.120739 0.0317881 0.011472 0.00882584 0.00808483 0.00636519 0.00631096 0.00579915 0.00519974 0.00490331 0.00646418
1.9748 0.114614 0.0296544 0.0117839 0.00865863 0.00721402 0.00463823 0.00521717 0.00449845 0.00431934 0.00476572 0.00520019
1.9785 0.113404 0.0312293 0.0114 0.00699456 0.00614921 0.00560791 0.00444546 0.00431687 0.0041117 0.00382957 0.00499774
1.9822 0.112636 0.0305038 0.0103629 0.00747679 0.00607257 0.00531613 0.00424034 0.00416825 0.00449924 0.0040497 0.00507038
1.9859 0.113247 0.0308403 0.0113161 0.00820547 0.0063904 0.00482321 0.00473097 0.00444838 0.00454454 0.00387912 0.00518727
1.9896 0.110798 0.0292795 0.010953 0.00756523 0.00515093 0.00433109 0.00333725 0.00277668 0.00213404 0.00267284 0.00314634
1.9933 0.109509 0.0287771 0.0104721 0.00639021 0.00466029 0.00323624 0.00330884 0.00317561 0.00307947 0.00265737 0.00357795
1.997 0.10583 0.0287597 0.00942476 0.00592427 0.00446916 0.00368736 0.00315497 0.00235657 0.00241146 0.00347259 0.00398042
2.0007 0.108305 0.0283549 0.00866486 0.00595268 0.00595608 0.00406005 0.00380501 0.00272873 0.00350424 0.00263187 0.0032827
2.0044 0.105745 0.0293608 0.0090672 0.0060151 0.00496422 0.00330273 0.00277004 0.00270584 0.00247226 0.00290554 0.00394434
2.0081 0.103563 0.029542 0.00984567 0.005352 0.00469077 0.00273529 0.00323367 0.00341466 0.00244715 0.00295822 0.0032221
2.0118 0.102626 0.0292502 0.00992942 0.00654246 0.00440561 0.00317653 0.00226323 0.00190438 0.00183717 0.00165517 0.00262543
2.0155 0.100825 0.0296418 0.0101553 0.00595586 0.00432554 0.00339784 0.00228654 0.00170665 0.00206997 0.0021127 0.0031152
2.0192 0.0986055 0.0286193 0.0101042 0.00579802 0.00380228 0.00285748 0.00265574 0.00254889 0.003069 0.00252082 0.00336346
2.0229 0.0963976 0.0282797 0.00948927 0.00575205 0.00367571 0.00294657 0.00303532 0.00258657 0.00266193 0.00275066 0.00297556
2.0266 0.097836 0.0293926 0.00890769 0.00533283 0.0038056 0.002453 0.00175715 0.000897968 0.00164896 0.00168706 0.00209529
2.0303 0.0970389 0.0286586 0.00885404 0.00502464 0.0037947 0.00209047 0.00159401 0.00152122 0.00205241 0.00179496 0.0029792
2.034 0.0967476 0.0289498 0.00924366 0.00578282 0.00427791 0.00286505 0.00214964 0.00142631 0.00178471 0.00207509 0.00317958
2.0377 0.0952673 0.0288049 0.00865874 0.00519943 0.0035732 0.00213011 0.0018368 0.00190389 0.00174753 0.00219538 0.00299039
2.0414 0.0964624 0.0275661 0.00837363 0.00420092 0.00319315 0.00164263 0.00123512 0.00160142 0.00163045 0.00268659 0.00275749
2.0451 0.0969332 0.0283645 0.00870887 0.00490822 0.0031603 0.00221534 0.00134752 0.00145074 0.00128499 0.00173257 0.00214006
2.0488 0.0976317 0.0291439 0.00856589 0.00422248 0.00254126 0.0014776 0.000999199 0.000801441 0.00118189 0.00133079 0.00192412
2.0525 0.094798 0.0287499 0.00882981 0.00483445 0.00300461 0.00153434 0.00105071 0.000624732 0.000476518 0.000868644 0.00239237
2.0562 0.0938108 0.0289087 0.00920653 0.00496076 0.00341443 0.0017267 0.00117973 0.000503442 0.00143941 0.00171577 0.0026652
2.0599 0.0930831 0.0294459 0.0092194 0.00492033 0.00294705 0.00171226 0.00124082 0.00102525 0.00147787 0.00184008 0.00188052
2.0636 0.0936266 0.0297541 0.00914847 0.00469517 0.00268303 0.00213023 0.00225834 0.00152267 0.000411467 0.00105385 0.00205948
2.0673 0.0938375 0.0289244 0.00899711 0.00473689 0.0026752 0.00150844 0.0013717 0.00132976 0.00121411 0.00162419 0.00229028
2.071 0.0922508 0.0291964 0.00889388 0.00509153 0.00266482 0.00145867 0.00117779 0.00169537 0.00145893 0.00169596 0.00187067
2.0747 0.0927344 0.0285652 0.00817918 0.00436038 0.00281831 0.00175873 0.00101689 0.0006215 0.000637915 0.00125647 0.00213095
2.0784 0.0905958 0.028788 0.00872636 0.00461539 0.00315809 0.00195831 0.00089086 0.000548774 0.000781358 0.000991174 0.00197721
